name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type,Good quality
20180605sample6,1.4690235257148743,-14.761809259653091,109.85698449410835,77.79745385050774,-34.97212380170822,0.7999999999999952,31,308.0734454231957,-47.189237877726555,28.480000000000004,0.0,1.2327158920950039,21.756125779826288,V1layer4,True
20180605sample20,1.6225650906562805,-10.610435158014297,126.5232739840088,74.93337988853455,-39.962124079465866,0.8400000000000074,21,262.5258750580251,-56.433835478127,39.239999999999995,20.0,1.1207007577216643,16.635716592950434,V1layer4,True
20180919sample4,0.0,-10.397344827651978,111.73638015190318,86.77918836474419,-44.81510445475578,0.8399999999999797,24,334.6682980060578,-60.18190977573395,61.72,2.857142857142886,1.1170192856862862,21.44735016776465,V1layer4,True
20180919sample3,0.0,-10.66216453909874,134.33489683522626,82.955501973629,-39.35779631137848,0.9199999999999764,19,285.7047119215131,-55.6018299177289,211.96,7.5,1.1680970862454005,29.505380596052433,V1layer4,True
20180626sample11,0.0,-13.941753655672073,95.69229504490623,83.1083096563816,-35.81663221120834,0.7599999999999829,22,216.80013284087184,-55.18671492487192,156.04000000000005,34.2857142857143,1.3171058327573404,26.240071314217385,V1layer4,True
20180920sample5,0.0,-7.994260638952255,110.65044858523115,74.61032271385193,-36.73563897609711,0.9599999999999609,22,256.55221509348064,-54.10947617292404,302.03999999999996,7.5,1.1763064084386743,26.66933886350608,V1layer4,True
20180705sample8,0.0,-13.981148600578308,117.07300930713555,53.79331856966019,-31.942933797836304,0.8400000000000074,25,181.1233569222192,-58.52588733136654,144.96,60.0,1.243816575198654,10.525775229184902,V1layer5,True
20180703sample1,0.0,-15.75777679681778,114.58314055704626,80.37230372428894,-38.730476051568985,0.8400000000000074,31,319.1891227439046,-61.74643252938986,49.559999999999995,38.26086956521739,1.3529818378278005,20.660832411699115,V1layer5,True
20180627sample14,0.0,-14.119531959295273,114.58775654635537,78.08570191264153,-44.37223821878433,0.5999999999999894,51,178.94700327577692,-59.0776576384902,37.28000000000001,20.0,1.3216133306498596,16.924131531303065,V1layer5,True
20180705sample4,0.0,-12.655723839998245,118.32035648983444,73.66644591093063,-33.74917805194855,1.0799999999999976,6,410.56093640998006,-45.41809044480324,23.000000000000007,1.0658141036401501e-14,1.0850393988236369,24.958554941942154,V1layer5,True
20180627sample12,0.0,-13.956792652606964,108.95242750081458,87.05652877688408,-38.87149319052696,0.8000000000000229,34,210.78247132649028,-54.944447265565394,70.44,20.0,1.3914879089638676,20.643126170719338,V1layer5,True
